"zipcode","citycode"
"4232","41031"
"4233","41017"
"4234","41028"
"4301","45624"
"4303","45629"
"4304","45601"
"4305","45649"
"4306","45635"
"4307","45619"
"4309","45625"
"4310","45616"
"4311","45610"
"4312","45628"
"4314","45640"
"4315","45642"
"4318","45607"
"4320","45605"
"4321","45646"
"4323","45608"
"4326","45615"
"4327","45647"
"4328","45623"
"4329","45639"
"4330","45627"
"4331","45603"
"4333","45602"
"4334","45633"
"4337","45631"
"4338","45617"
"4339","45636"
"4340","45606"
"4341","45632"
"4400","51724"
"4401","51709"
"4402","51710"
"4403","51720"
"4404","51704"
"4405","51708"
"4406","51707"
"4407","51718"
"4408","51734"
"4409","51719"
"4410","51730"
"4411","51712"
"4412","51713"
"4413","51721"
"4414","51722"
"4416","51726"
"4417","51727"
"4418","51728"
"4419","51725"
"4420","51736"
"4421","51731"
"4422","51715"
"4423","51733"
"4424","51729"
"4425","51717"
"4427","51735"
"4428","51714"
"4429","51711"
"4430","51706"
"4431","51716"
"4432","51701"
"4433","51705"
"4434","51723"
"4435","51703"
"4500","50506"
"4501","50503"
"4502","50502"
"4503","50504"
"4504","50508"
"4505","50512"
"4506","50514"
"4507","50507"
"4510","50509"
"4511","50501"
"4516","50513"
"4603","51612"
"4604","51606"
"4605","51608"
"4606","51605"
"4607","51602"
"4608","51601"
"4609","51609"
"4610","51604"
"4611","51610"
"4700","56216"
"4702","56205"
"4703","56210"
"4704","56204"
"4705","56211"
"4706","56203"
"4707","56209"
"4708","56212"
"4709","56215"
"4710","56208"
"4711","56214"
"4712","56202"
"4713","56206"
"4714","56213"
"4715","56207"
"4800","52011"
"4801","52003"
"4802","52007"
"4803","52002"
"4804","52005"
"4805","52010"
"4807","52001"
"4808","52004"
"4809","52006"
"4810","52008"
"4900","174001"
"4902","174005"
"4903","174004"
"4905","174003"
"5000","63020"
"5001","63036"
"5002","63043"
"5004","63047"
"5005","63032"
"5006","63018"
"5007","63007"
"5008","63037"
"5009","63003"
"5010","63006"
"5011","63008"
"5012","63001"
"5013","63015"
"5014","63044"
"5015","63038"
"5016","63009"
