"id","growth_height_months","growth_height_sever_stunted","growth_height_stunted_from","growth_height_stunted_to","growth_height_normal_from","growth_height_normal_to","growth_height_tall","growth_height_sex"
"128","55","92.9","93.0","97.5","97.6","115.9","116.0","F"
"129","56","93.3","93.4","98.0","98.1","116.5","116.6","F"
"130","57","93.8","93.9","98.4","98.5","117.1","117.2","F"
"131","58","94.2","94.3","98.9","99.0","117.7","117.8","F"
"132","59","94.6","94.7","99.4","99.5","118.3","118.4","F"
"133","60","95.1","95.2","99.8","99.9","118.9","119.0","F"
"134","61","95.2","95.3","100.0","100.1","119.1","119.2","F"
"135","62","95.6","95.7","100.4","100.5","119.7","119.8","F"
"136","63","96.0","96.1","100.9","101.0","120.3","120.4","F"
"137","64","96.4","96.5","101.3","101.4","120.9","121.0","F"
"138","65","96.9","97.0","101.8","101.9","121.5","121.6","F"
"139","66","97.3","97.4","102.2","102.3","122.0","122.1","F"
"140","67","97.7","97.8","102.6","102.7","122.6","122.7","F"
"141","68","98.1","98.2","103.1","103.2","123.2","123.3","F"
"142","69","98.5","98.6","103.5","103.6","123.7","123.8","F"
"143","70","98.9","99.0","103.9","104.0","124.3","124.4","F"
"144","71","99.3","99.4","104.4","104.5","124.8","124.9","F"
