"id","fhudcode","lat","lng"
"18356","DOH000000000000148","17.6131992","121.7266312"
"18357","DOH000000000000151","15.0105696","120.4203720"
"18358","DOH000000000000152","15.7207298","119.9097137"
"18359","DOH000000000000153","12.0632296","121.9485168"
"18360","DOH000000000000154","12.3866796","122.0923996"
"18361","DOH000000000000155","13.0547199","121.4046326"
"18362","DOH000000000000156","17.2582302","120.7217331"
"18363","DOH000000000000157","13.8327799","120.9158783"
"18364","DOH000000000000158","14.0427599","120.6559219"
"18365","DOH000000000000159","14.4591999","120.9399033"
"18366","DOH000000000000160","14.8269997","120.2868729"
"18367","DOH000000000000162","16.7721691","120.4590225"
"18368","DOH000000000000164","14.8417997","120.2828979"
"18369","DOH000000000000165","8.6515903","124.7543564"
"18370","DOH000000000000166","11.5199099","122.6879196"
"18371","DOH000000000000167","10.5263300","119.2650223"
"18372","DOH000000000000168","7.7847199","126.4490433"
"18373","DOH000000000000171","8.3400097","124.2579498"
"18374","DOH000000000000172","17.9207897","120.4751587"
"18375","DOH000000000000174","17.0950394","120.8555374"
"18376","DOH000000000000175","11.6111202","125.4326706"
"18377","DOH000000000000177","14.6167898","121.0816193"
"18378","DOH000000000000178","14.6134796","121.0957489"
"18379","DOH000000000000179","7.1288500","125.8948822"
"18380","DOH000000000000180","7.6030002","125.9702911"
"18381","DOH000000000000181","15.0372200","120.7878571"
"18382","DOH000000000000184","14.9487896","120.5963821"
"18383","DOH000000000000185","5.9151201","125.6439133"
"18384","DOH000000000000188","14.0188799","121.0982666"
"18385","DOH000000000000189","15.4909697","120.5679169"
"18386","DOH000000000000190","11.4207497","122.6577530"
"18387","DOH000000000000191","15.2144499","120.6620636"
"18388","DOH000000000000192","14.8998699","120.8192062"
"18389","DOH000000000000193","16.5214691","120.4557800"
"18390","DOH000000000000195","9.4158297","118.5368195"
"18391","DOH000000000000196","14.5691004","121.0449295"
"18392","DOH000000000000199","14.5470104","121.0660019"
"18393","DOH000000000000200","14.5697298","121.0338898"
"18394","DOH000000000000201","14.5424099","121.0629196"
"18395","DOH000000000000203","7.0860701","125.7517700"
"18396","DOH000000000000204","6.9647999","125.7258072"
"18397","DOH000000000000206","9.8624897","124.5198669"
"18398","DOH000000000000207","7.2194800","126.4630127"
"18399","DOH000000000000208","7.6119900","125.7226486"
"18400","DOH000000000000209","7.0381298","126.3582916"
"18401","DOH000000000000210","14.1160097","122.7802277"
"18402","DOH000000000000211","14.6895399","120.5557098"
"18403","DOH000000000000212","10.3273201","124.7897873"
"18404","DOH000000000000213","15.7131996","120.9044189"
"18405","DOH000000000000215","10.0563383","125.1578827"
"18406","DOH000000000000216","12.5239897","124.4231491"
"18407","DOH000000000000217","15.9063101","119.8849182"
"18408","DOH000000000000218","12.2714901","124.1033630"
"18409","DOH000000000000219","9.7454700","123.8424530"
"18410","DOH000000000000249","16.0387001","120.3167114"
"18411","DOH000000000000695","15.5461397","121.0887527"
"18412","DOH000000000000701","14.5596304","121.0832214"
"18413","DOH000000000000810","15.8001204","121.3050308"
"18414","DOH000000000000811","15.5042801","120.8382263"
"18415","DOH000000000000812","14.4328699","121.0132828"
"18416","DOH000000000000814","14.6428099","120.9697189"
"18417","DOH000000000000817","14.6290798","120.9717712"
"18418","DOH000000000000824","11.5551996","122.3792725"
"18419","DOH000000000000826","14.5913897","120.9572296"
"18420","DOH000000000000827","12.7503099","121.4874725"
"18421","DOH000000000000830","14.5881996","121.1171722"
"18422","DOH000000000000831","14.6091204","121.1066818"
"18423","DOH000000000000832","14.6117201","121.0035324"
"18424","DOH000000000000833","13.9303904","120.8516235"
"18425","DOH000000000000836","10.4557695","124.0099106"
"18426","DOH000000000000837","13.9280005","121.4245224"
"18427","DOH000000000000838","14.7100801","120.9847794"
"18428","DOH000000000000839","14.6686401","120.9465103"
"18429","DOH000000000000841","14.7038298","120.9617767"
"18430","DOH000000000000844","14.6226501","120.9874115"
"18431","DOH000000000000845","9.6051598","124.1613464"
"18432","DOH000000000000847","14.6626396","120.9849319"
"18433","DOH000000000000849","16.4069195","120.6018677"
"18434","DOH000000000000850","14.6003599","121.0129166"
"18435","DOH000000000000851","14.6089096","121.0013123"
"18436","DOH000000000000852","14.6538200","120.9799805"
"18437","DOH000000000000853","14.5125904","121.0702591"
"18438","DOH000000000000855","14.2876501","122.6978912"
"18439","DOH000000000000857","14.6918898","120.9792480"
"18440","DOH000000000000859","13.9503899","121.1712570"
"18441","DOH000000000000860","14.6106300","121.0073013"
"18442","DOH000000000000861","14.7088099","121.0040970"
"18443","DOH000000000000863","11.7121000","122.2926788"
"18444","DOH000000000000865","16.0545692","120.2341919"
"18445","DOH000000000000866","14.6781597","120.9806976"
"18446","DOH000000000000867","14.4708900","120.9919510"
"18447","DOH000000000000870","14.6623201","120.9457321"
"18448","DOH000000000000871","14.8339996","120.2778015"
"18449","DOH000000000000872","14.7207098","121.0391769"
"18450","DOH000000000000873","14.7207098","121.0391769"
"18451","DOH000000000000876","14.6620903","121.0341263"
"18452","DOH000000000000879","14.6948004","120.9922409"
"18453","DOH000000000000880","14.7678804","121.0546722"
"18454","DOH000000000000881","14.3891296","121.0440979"
"18455","DOH000000000000882","15.0654697","120.3389511"
"18456","DOH000000000000885","14.7382298","120.9894180"
"18457","DOH000000000000887","14.6244802","120.9780731"
"18458","DOH000000000000888","14.5885401","121.0877991"
"18459","DOH000000000000889","13.8433199","121.2056503"
"18460","DOH000000000000890","15.2966700","120.8500290"
"18461","DOH000000000000893","14.5924997","120.9906998"
"18462","DOH000000000000894","14.6755800","120.9901199"
"18463","DOH000000000000897","14.5988197","120.9710083"
"18464","DOH000000000000899","16.2629395","120.3927689"
"18465","DOH000000000000901","14.5991297","120.9891434"
"18466","DOH000000000000903","9.4175901","123.3333588"
